top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 246 total,   1 em exec., 245 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,2 us,  2,2 sy,  0,0 ni, 93,3 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st 
GB mem :      5,8 total,      0,5 free,      1,6 used,      4,0 buff/cache     
GB swap:      4,0 total,      4,0 free,      0,0 used.      4,2 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
     37 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:03.51 ksoftir+
     39 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.42 kworker+
     44 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 kdevtmp+
     45 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     46 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 rcu_tas+
     47 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 rcu_tas+
     48 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 kauditd
     49 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.09 khungta+
     50 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 oom_rea+
     52 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     54 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:05.09 kcompac+
     55 root      25   5    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 ksmd
     56 root      39  19    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 khugepa+
     57 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     58 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     59 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     60 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 irq/9-a+
     62 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     63 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     64 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     65 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     66 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     67 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     68 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     69 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 watchdo+
     70 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     71 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.44 kswapd0
     73 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 ecryptf+
     74 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     75 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     77 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.02 scsi_eh+
     78 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     79 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 scsi_eh+
     80 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     84 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     85 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     86 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     87 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.07 kworker+
     89 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     90 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     91 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     92 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     93 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     97 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
     98 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.54 kworker+
    109 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
    161 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 scsi_eh+
    162 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
    220 root      20   0    0,0m   0,0m   0,0m S   0,0   0,0   0:02.61 jbd2/sd+
    221 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
    261 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.46 kworker+
    492 root      -2   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 psimon
    577 root     -51   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 irq/18-+
    578 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
   3150 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
   4470 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
   4775 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
   4799 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
   8298 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.54 kworker+
  48829 root       0 -20    0,0m   0,0m   0,0m I   0,0   0,0   0:00.67 kworker+
  53577 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.39 kworker+
  54951 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.36 kworker+
  58403 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.27 kworker+
  58591 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.11 kworker+
  58811 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.20 kworker+
  60267 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.26 kworker+
  66023 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.04 kworker+
  66531 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
  66560 root      -2   0    0,0m   0,0m   0,0m S   0,0   0,0   0:00.00 psimon
  67095 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
  69449 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.16 kworker+
  73325 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
  75432 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.24 kworker+
  77333 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
  79328 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.06 kworker+
  82595 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.07 kworker+
  83355 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
  83532 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.68 kworker+
  86104 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.02 kworker+
  87418 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.00 kworker+
  87511 root      20   0    0,0m   0,0m   0,0m I   0,0   0,0   0:00.01 kworker+
